group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,enrollment_rate_change
Lower FRPM,72,0.6778827874640161,0.7425375006271008,0.06783963634039007,22977.0,-0.04557302133897321,0.0011188226395285913
Middle FRPM,74,0.6261147408078592,0.7154355610482619,0.08964331569560709,10588.0,-0.04448007704967084,0.018502039588734986
Higher FRPM,72,0.6074253279985112,0.7535602059236478,0.1454838192692704,4210.0,-0.1203444091457536,-0.004940686846417896
