group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,enrollment_rate_change
Lower applicant GPA,76,0.619197352089367,0.7250208275479033,0.10509389459045955,5920.0,-0.10225272132168912,-0.014512099180398101
Middle applicant GPA,78,0.646700143472023,0.7444967641669179,0.09615116952337796,15231.0,-0.05160637469238277,0.01582437095006593
Higher applicant GPA,76,0.6669154060104471,0.7315847135399884,0.06789928070192511,17069.0,-0.04456886239121378,0.0021494724001871503
