group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,enrollment_rate_change
Lower a-g completion,71,0.5938603868797309,0.6982028985507246,0.10654322826759849,5360.0,-0.08909076695499149,-0.0029388519266913228
Middle a-g completion,74,0.6213738591916558,0.7218462336315312,0.09725310550942232,14021.0,-0.06484228026099191,0.009324095578657062
Higher a-g completion,71,0.6951376463571586,0.7594422661438746,0.06803980288049181,18131.0,-0.037635452651387534,0.006057822308984959
