group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,enrollment_rate_change,applicant_gpa_change,admit_gpa_change,enrollee_gpa_change,enrollee_applicant_gpa_gap_change,enrollee_admit_gpa_gap_change
Lower applicant GPA,76,0.619197352089367,0.7250208275479033,0.10509389459045955,5920.0,-0.10225272132168912,-0.014512099180398101,-7.189780875939641e-17,1.2899995588969681e-17,-6.356700428264888e-17,2.3975098501068265e-17,-8.798201284795693e-17
Middle applicant GPA,78,0.646700143472023,0.7444967641669179,0.09615116952337796,15231.0,-0.05160637469238277,0.01582437095006593,-1.452450153994545e-18,4.796130188807814e-17,-1.0797680289371846e-17,-1.6944052146398897e-17,-5.642480110189698e-17
Higher applicant GPA,76,0.6669154060104471,0.7315847135399884,0.06789928070192511,17069.0,-0.04456886239121378,0.0021494724001871503,-2.6635240357916584e-17,5.215987900517531e-18,0.0,2.98973444426617e-17,-5.915361522281018e-18
