group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,enrollment_rate_change,applicant_gpa_change,admit_gpa_change,enrollee_gpa_change,enrollee_applicant_gpa_gap_change,enrollee_admit_gpa_gap_change
Lower FRPM,72,0.6778827874640161,0.7425375006271008,0.06783963634039007,22977.0,-0.04557302133897321,0.0011188226395285913,-2.3898043065895776e-17,4.509601259405744e-17,-1.6081405737332903e-17,7.726866552123616e-18,-6.579740705449802e-17
Middle FRPM,74,0.6261147408078592,0.7154355610482619,0.08964331569560709,10588.0,-0.04448007704967084,0.018502039588734986,-2.2685039968257468e-17,-2.0873712027249823e-17,-1.3919804262441854e-17,4.03357964423031e-18,6.52490824801962e-18
Higher FRPM,72,0.6074253279985112,0.7535602059236478,0.1454838192692704,4210.0,-0.1203444091457536,-0.004940686846417896,-1.9002279488135325e-17,2.937139780297281e-17,-1.388314395903322e-17,1.1654985052027888e-17,-4.584865443260971e-17
