group,schools,pre_admit_rate,post_admit_rate,admit_rate_change,applicant_change,yield_rate_change,applicant_gpa_change,admit_gpa_change,enrollee_gpa_change,enrollee_applicant_gpa_gap_change,enrollee_admit_gpa_gap_change
Lower a-g completion,71,0.5938603868797309,0.6982028985507246,0.10654322826759849,5360.0,-0.08909076695499149,6.9252172434589476e-18,-9.412579877962428e-18,-1.5696119876885468e-17,-1.8232866523654838e-17,-1.2921553231981472e-17
Middle a-g completion,74,0.6213738591916558,0.7218462336315312,0.09725310550942232,14021.0,-0.06484228026099191,-7.848857913491577e-17,2.2672275759944232e-17,-3.149205696832384e-17,5.242275336800249e-17,-5.367091416247874e-17
Higher a-g completion,71,0.6951376463571586,0.7594422661438746,0.06803980288049181,18131.0,-0.037635452651387534,9.567977894865116e-18,3.54966675454767e-17,-1.9294804042842484e-18,-2.0915567582441252e-17,-4.0390456463016936e-17
